from_destination_id,to_destination_id,distance_km,duration_minutes_car,duration_minutes_bike,transport_mode
0x2e7a57bd08af372b_0xdf3da9df88198ee6,0x2e7a5799aaa63c5b_0xb191493a7eeeb16b,0.59,1,2,car
0x2e7a57bd08af372b_0xdf3da9df88198ee6,0x2e7a579fadf5e2e7_0xd6238cbe746e1305,0.59,1,2,car
0x2e7a57a8934200db_0xb78e33e22bb6ee86,0x2e7a57a67b5c9edd_0xe839e384ca221f5,0.32,0,1,car
0x2e7a57a8934200db_0xb78e33e22bb6ee86,0x2e7a57a3dd9adba5_0x7ae739af3260c383,0.51,1,2,car
0x2e7a57a8934200db_0xb78e33e22bb6ee86,0x2e7a57bd08af372b_0xdf3da9df88198ee6,0.66,1,3,car
0x2e7a57a8934200db_0xb78e33e22bb6ee86,0x2e7a57607e789413_0x77f6e68af0a50ed5,0.71,1,3,car
0x2e7a57a8934200db_0xb78e33e22bb6ee86,0x2e7a57a50270c09d_0xd96acb6de93ed1a8,0.75,1,3,car
0x2e7a57a8934200db_0xb78e33e22bb6ee86,0x2e7a57003fd5a227_0xc622c7bf7176f257,0.76,1,3,car
0x2e7a57a8934200db_0xb78e33e22bb6ee86,0x2e7a57a310539101_0x5f7a486c7fd128ce,0.79,1,3,car
0x2e7a57a8934200db_0xb78e33e22bb6ee86,0x2e7a57a30fd5198d_0xde8b536c227fce5a,0.84,1,3,car
0x2e7a500813c2e48d_0x81849ab09120be2b,0x2e7a51ebf3f2fe45_0xb25efea185fd6810,2.13,3,9,car
0x2e7a500813c2e48d_0x81849ab09120be2b,0x2e7a5b42fbd85d49_0xf10854cd34306a04,3.41,5,14,car
0x2e7a500813c2e48d_0x81849ab09120be2b,0x2e7a5b1232407aa5_0x645c50631c5aaaeb,3.45,5,14,car
0x2e7a500813c2e48d_0x81849ab09120be2b,0x2e7a5aa458b4665b_0xa4b0fc6ad0ae38c7,3.56,5,14,car
0x2e7a500813c2e48d_0x81849ab09120be2b,0x2e7a4fcc2de96709_0x83abe8cb33f739b5,3.85,6,15,car
0x2e7a500813c2e48d_0x81849ab09120be2b,0x2e7a5a971d2ad689_0xb58c9748e70fd9e5,4.09,6,16,car
0x2e7a500813c2e48d_0x81849ab09120be2b,0x2e7a5ae163167d73_0x6a617a11831aaa58,4.27,6,17,car
0x2e7a500813c2e48d_0x81849ab09120be2b,0x2e7a51a595348e9b_0x3cc1a2495d3f38e0,4.38,7,18,car
0x2e7a549c2170afef_0xfc9f151d8c9d6e87,0x2e7a55b656d8e417_0x8c7fb105b7464249,0.0,0,0,car
0x2e7a549c2170afef_0xfc9f151d8c9d6e87,0x2e7a549ed3bc9bf1_0x51e9ee67da0acb2b,0.33,0,1,car
0x2e7a549c2170afef_0xfc9f151d8c9d6e87,0x2e7a531be5da247f_0x51f131c4dc279d01,0.99,1,4,car
0x2e7a549c2170afef_0xfc9f151d8c9d6e87,0x2e7a5366aaaaaaab_0x11765ecd87201338,1.04,2,4,car
0x2e7a549c2170afef_0xfc9f151d8c9d6e87,0x2e7a536355abb129_0x9fb567811ef62e4e,1.14,2,5,car
0x2e7a549c2170afef_0xfc9f151d8c9d6e87,0x2e7a548fd0091f07_0xf2e5878e2fc74574,1.2,2,5,car
0x2e7a549c2170afef_0xfc9f151d8c9d6e87,0x2e7a550be9adccd7_0x43975046437f5f2a,1.64,2,7,car
0x2e7a549c2170afef_0xfc9f151d8c9d6e87,0x2e7a55c1a34e8e55_0x94dd97ea3e5f9523,2.17,3,9,car
0x2e7af743dfe424ab_0xcf7e6dfe1023fcf4,0x2e7af70f95a9b5ed_0x9aaf58e14b5f56a1,0.2,0,1,car
0x2e7af743dfe424ab_0xcf7e6dfe1023fcf4,0x2e7a59ecc6b35b0f_0x2f4ba5e39beb908b,0.88,1,4,car
0x2e7af743dfe424ab_0xcf7e6dfe1023fcf4,0x2e7a588499d7eacd_0x1ef27feac41bea70,1.06,2,4,car
0x2e7af743dfe424ab_0xcf7e6dfe1023fcf4,0x2e7a5948c32a00f1_0x893a134c3d2923db,1.15,2,5,car
0x2e7af743dfe424ab_0xcf7e6dfe1023fcf4,0x2e7a5988284da345_0xc33261f81fb6ab67,1.52,2,6,car
